Computer Components - Kitchen Analogy	The analogy between computer components and kitchens helps understand their functions: processors (CPU) process data like chefs prepare meals, RAM is like a work surface for active tasks, and hard drives store data permanently like cabinets store supplies.	Kamilla Tenorio (2026), AI Across Domains
Digital Representation	Digital representations use discrete values (0 and 1) and are therefore fundamentally limited in their accuracy, in contrast to analog representations, which are continuous and theoretically infinitely accurate. Digitization always requires an abstraction of the real world.	Kamilla Tenorio (2026), AI Across Domains
Digitization - Abstraction	In digitization, analog information is converted into digital form through abstraction. This means that continuous values are converted into discrete steps, which represents a simplification and quantization of the original information.	Kamilla Tenorio (2026), AI Across Domains
EVA Principle	EVA stands for Input (Eingabe), Processing (Verarbeitung), and Output (Ausgabe). This is a fundamental principle of data processing that describes how computers process information: data is input, processed, and then output.	Kamilla Tenorio (2026), AI Across Domains
Network - Servers and Clients	In a computer network, not only servers but also clients can offer content if they are configured accordingly. The distinction between server and client is functional, not absolute - any computer can theoretically take on both roles.	https://youtu.be/Dxcc6ycZ73M
Internet - Responsibility	The Internet is a decentralized network without a central control authority. It is operated and managed by many different organizations, governments, companies, and individuals. No one is solely responsible, but everyone shares responsibility together.	https://youtu.be/Dxcc6ycZ73M
Network - Fault Tolerance	The fault tolerance of a network depends on its topology. If a node H is defective, the entire network fails only if H is a critical node (e.g., a central router or switch) that maintains all connections. In meshed networks, a single failure would not bring down the entire network.	https://youtu.be/AYdF7b3nMto
Network - Routing	When C sends a message to F, whether E is always involved depends on the network topology. In a star topology with a central hub E, this would be true, but in other topologies (e.g., meshed), the message could take alternative paths.	https://youtu.be/AYdF7b3nMto
Network - Message Routing	When A sends a message to G, the involvement of D depends on the network topology. In a topology where D is a central node that mediates all connections between A and G, D would always be involved. In other configurations, there could be alternative routes.	https://youtu.be/AYdF7b3nMto
Binary Representation - Number 9	The binary representation of the number 9 is 1001. This can be calculated by repeated division by 2: 9 ÷ 2 = 4 remainder 1, 4 ÷ 2 = 2 remainder 0, 2 ÷ 2 = 1 remainder 0, 1 ÷ 2 = 0 remainder 1. The binary number is read from bottom to top: 1001.	https://youtu.be/USCBCmwMCDA
Binary Representation - Number 7	The binary representation of the number 7 is 111. This can be calculated by repeated division by 2: 7 ÷ 2 = 3 remainder 1, 3 ÷ 2 = 1 remainder 1, 1 ÷ 2 = 0 remainder 1. The binary number is read from bottom to top: 111 (which equals 4 + 2 + 1 = 7 in the decimal system).	https://youtu.be/USCBCmwMCDA
