Prompt Engineering	Prompt Engineering is the art and science of creating effective prompts for interacting with Large Language Models. It involves formulating the right instructions and contexts to obtain desired results from LLMs.	AI Across Domains (WiSe 25/26)
LLM Limitations	Hallucinations are a well-known problem with LLMs, where they generate plausible but factually false or fabricated information. This occurs because LLMs are based on statistical patterns rather than factual knowledge.	Jones, Nicola. “AI Hallucinations Can’t Be Stopped — but These Techniques Can Limit Their Damage.” Nature 637, no. 8047 (2025): 778–80. https://doi.org/10.1038/d41586-025-00068-5.
Transformer Architecture	The Transformer architecture, introduced in the paper "Attention Is All You Need" (2017), is the foundation of modern LLMs like GPT and BERT. It uses self-attention mechanisms to understand relationships between words.	AI Across Domains (WiSe 25/26)
Error Calculation in Training	Calculating the error after a prediction is crucial for training. This error is used to adjust the model's weights through backpropagation, so the model performs better on future predictions.	AI Across Domains (WiSe 25/26)
Word Embeddings	Word embeddings convert words into mathematical vectors that capture semantic and syntactic relationships between words. Similar words have similar vector representations in high-dimensional space.	AI Across Domains (WiSe 25/26)
Resource-Intensive Training	LLMs require enormous computational resources because they have billions of parameters and are trained on huge datasets. A single training run can take weeks or months and requires specialized hardware like GPUs.	AI Across Domains (WiSe 25/26)
Hallucinations	Hallucinations in LLMs refer to the generation of information that sounds plausible but is factually incorrect or completely fabricated. This is one of the biggest challenges when using LLMs in critical applications.	Jones, Nicola. “AI Hallucinations Can’t Be Stopped — but These Techniques Can Limit Their Damage.” Nature 637, no. 8047 (2025): 778–80. https://doi.org/10.1038/d41586-025-00068-5.
Statistical Nature of LLMs	LLMs work statistically and stochastically, not deterministically. They generate answers based on probabilities, meaning they don't always give the same answer to the same question and cannot provide absolute guarantees of accuracy.	AI Across Domains (WiSe 25/26)
Bias in Training Data	Training data from the Internet can contain biases, stereotypes, and inaccurate information. LLMs learn these patterns and can reproduce them in their outputs, leading to ethical issues and inaccurate results.	McMahon, L., & Kleinman, Z. (2024, May 24). Google AI search tells users to glue pizza and eat rocks. BBC News. https://www.bbc.com/news/articles/cd11gzejgz4o
Effective Prompts	A well-structured prompt can significantly improve LLM performance by providing clear instructions, relevant contexts, and examples. This helps the model better understand the desired task and make more accurate token predictions.	AI Across Domains (WiSe 25/26)
