Künstliche Intelligenz - Geschichte	Der Begriff "Künstliche Intelligenz" wurde 1956 auf der Dartmouth-Konferenz von John McCarthy, Marvin Minsky, Nathaniel Rochester und Claude Shannon offiziell geprägt. Diese Konferenz markierte den Beginn der KI als wissenschaftliches Forschungsfeld.	https://spectrum.ieee.org/dartmouth-ai-workshop)
KI-Winter	KI-Winter bezieht sich auf Perioden, in denen die Finanzierung und das Interesse an KI-Forschung aufgrund unerfüllter Erwartungen und enttäuschender Ergebnisse drastisch zurückgingen. Die bekanntesten KI-Winter fanden in den 1970er und 1980er Jahren statt, als die frühen Versprechungen der KI nicht erfüllt werden konnten.	Eldon Lytle, Director of the BYU Translation Sciences Institute (TSI)
Deep Blue	Deep Blue war ein von IBM entwickelter Schachcomputer, der 1997 den damaligen Schachweltmeister Garry Kasparov in einem sechsteiligen Match besiegte. Dies war ein historischer Meilenstein, der zeigte, dass Computer in spezialisierten Bereichen menschliche Experten übertreffen können.	https://youtu.be/KF6sLCeBj0s
Künstliche Allgemeine Intelligenz (AGI)	Künstliche Allgemeine Intelligenz (AGI) oder "starke KI" bezieht sich auf eine hypothetische Form der KI, die jede intellektuelle Aufgabe so gut oder besser ausführen kann als ein Mensch. Im Gegensatz zur "schwachen KI" (ANI), die auf spezifische Aufgaben spezialisiert ist, würde AGI universelle Intelligenz besitzen.	Kamilla Tenorio, AI Across Domains
Dartmouth-Konferenz	Die Dartmouth-Konferenz von 1956 wird weithin als Geburtsstunde der Künstlichen Intelligenz als akademisches Fachgebiet angesehen. Das Hauptziel war es, KI als ein Feld zu etablieren, das sich auf die Entwicklung von Maschinen konzentriert, die menschliche Intelligenz simulieren können.	https://spectrum.ieee.org/dartmouth-ai-workshop)
ELIZA	ELIZA war ein frühes Computerprogramm, das 1966 von Joseph Weizenbaum entwickelt wurde und eine Unterhaltung mit einem Menschen simulieren konnte. Es verwendete einfache Musterabgleichs- und Substitutionsmethoden, um Gespräche zu führen, und war einer der ersten erfolgreichen Chatbots.	Gesellschaft für Informatik. (n.d.). Joseph Weizenbaum [Photograph]. GI - Gesellschaft für Informatik e.V. [Website]. https://gi.de/persoenlichkeiten/joseph-weizenbaum
Maschinelles Lernen - Erfolgsfaktoren	Der Erfolg des maschinellen Lernens in den letzten Jahrzehnten wurde hauptsächlich durch drei Faktoren vorangetrieben: die exponentielle Zunahme der Rechenleistung (Moore's Law), die Verfügbarkeit riesiger Datensätze (Big Data) und bahnbrechende Fortschritte bei Deep-Learning-Techniken, insbesondere bei neuronalen Netzen.	Kamilla Tenorio, AI Across Domains
Generative KI	Generative KI-Systeme sind eine Klasse von KI-Modellen, die neue Inhalte wie Text, Code, Bilder, Audio oder Videos generieren können. Im Gegensatz zu diskriminativen Modellen, die Daten klassifizieren, lernen generative Modelle die zugrunde liegende Verteilung der Daten und können neue, ähnliche Datenpunkte erzeugen.	Kamilla Tenorio, AI Across Domains
Turing-Test	Der Turing-Test, vorgeschlagen von Alan Turing im Jahr 1950, ist ein Test für maschinelle Intelligenz. Ein Fragesteller führt eine textbasierte Unterhaltung mit zwei unsichtbaren Teilnehmern - einem Menschen und einer Maschine. Wenn der Fragesteller die beiden nicht zuverlässig unterscheiden kann, hat die Maschine den Test bestanden.	Elliott & Fry - https://commons.wikimedia.org/wiki/File:Alan_Turing_(1951).jpg
Large Language Models (LLMs)	Large Language Models (LLMs) sind KI-Modelle, die auf umfangreichen Textdaten trainiert werden und menschliche Sprachmuster simulieren können. Sie verwenden tiefe neuronale Netze, insbesondere Transformer-Architekturen, um Sprache zu verstehen und zu generieren. Beispiele sind GPT, BERT und andere moderne Sprachmodelle.	Kamilla Tenorio, AI Across Domains
Künstliche Allgemeine Intelligenz (AGI)	Künstliche Allgemeine Intelligenz (AGI) oder "starke KI" ist eine hypothetische Form der KI, die das gesamte Spektrum menschlicher kognitiver Fähigkeiten abdecken würde. Im Gegensatz zu aktuellen KI-Systemen, die spezialisiert sind (schwache KI), würde AGI jede intellektuelle Aufgabe so gut wie ein Mensch ausführen können. AGI existiert derzeit noch nicht und bleibt ein langfristiges Forschungsziel.	Kamilla Tenorio, AI Across Domains
Maschinelles Lernen	Maschinelles Lernen ist eine KI-Technik, die es Computern ermöglicht, aus Daten zu lernen, ohne explizit für jede mögliche Situation programmiert zu werden. Anstatt fest codierte Regeln zu verwenden, identifizieren ML-Algorithmen Muster in Daten und verbessern ihre Leistung durch Erfahrung.	Kamilla Tenorio, AI Across Domains
Künstliche Enge Intelligenz (ANI)	Künstliche Enge Intelligenz (ANI) oder "schwache KI" ist die häufigste und aktuell existierende Form der künstlichen Intelligenz. ANI-Systeme sind auf spezifische, eng definierte Aufgaben spezialisiert und übertreffen Menschen in diesen Bereichen, können aber keine Aufgaben außerhalb ihres spezialisierten Bereichs ausführen.	Kamilla Tenorio, AI Across Domains
KI-Ethik	Ethische Fragen im Zusammenhang mit KI umfassen Datenschutz, Diskriminierung, Transparenz, Verantwortlichkeit, Arbeitsplatzverluste, Umweltauswirkungen und die Verbreitung von Fehlinformationen. Die Option, dass KI die Schwerkraft der Erde aufheben könnte, ist wissenschaftlich unbegründet und stellt kein reales ethisches Problem dar.	Kamilla Tenorio, AI Across Domains
