Maschinelles Lernen - Ansätze	Die drei Hauptansätze des maschinellen Lernens sind: überwachtes Lernen (mit beschrifteten Daten), unüberwachtes Lernen (ohne Beschriftungen) und verstärkendes Lernen (Lernen durch Belohnung/Bestrafung). Diese drei Paradigmen decken die meisten ML-Anwendungen ab.	Kamilla Tenorio (2026), AI Across Domains
Verstärkendes Lernen - Prinzip	Das zentrale Prinzip des verstärkenden Lernens ist, dass ein Agent durch Interaktion mit seiner Umgebung lernt, optimale Handlungen zu wählen, indem er Belohnungen oder Bestrafungen verarbeitet. Der Agent erkundet die Umgebung und lernt aus den Konsequenzen seiner Handlungen.	Gifer. (n.d.). AlphaGo [GIF]. Retrieved December 9, 2024, from https://gifer.com/en/2v6E
Verstärkendes Lernen - Programmierung	Im verstärkenden Lernen lernt der Agent selbstständig durch Trial-and-Error, nicht durch vordefinierte Anweisungen. Wenn ein Programmierer die beste Aktion spezifiziert, ist dies kein typisches verstärkendes Lernen, da der Agent nicht selbst lernt, sondern Anweisungen befolgt.	Kamilla Tenorio (2026), AI Across Domains
Anomalieerkennung - Unüberwachtes Lernen	Die Erkennung von Anomalien bei der Kreditkartennutzung ist ein typisches Beispiel für unüberwachtes Lernen, da keine beschrifteten Beispiele von Betrug verfügbar sind. Das System muss ungewöhnliche Muster in den Daten identifizieren, ohne zu wissen, was "normal" oder "anomal" ist.	Kamilla Tenorio (2026), AI Across Domains
Unüberwachtes Lernen - Hauptziel	Das Hauptziel des unüberwachten Lernens ist es, Muster und Ähnlichkeiten in unbeschrifteten Daten zu identifizieren. Im Gegensatz zum überwachten Lernen gibt es keine vorgegebenen Labels oder Kategorien – das System muss die Struktur in den Daten selbst entdecken.	Kamilla Tenorio (2026), AI Across Domains
K-means Clustering - Kundensegmentierung	K-means Clustering ist ein unüberwachtes Lernverfahren, das Kunden in Cluster organisiert, indem es Strukturen in den Daten ausschließlich auf Grundlage von Ähnlichkeiten in den gegebenen Merkmalen erkennt – ohne vorherige Beschriftung. Es findet natürliche Gruppierungen in den Daten.	Kamilla Tenorio (2026), AI Across Domains
Filterblasen	Filterblasen beschreiben die intellektuelle Isolation einer Person, die – oft durch KI-gestützte Personalisierungsalgorithmen – nur mit einer Seite einer Sache konfrontiert wird. Diese Blasen, verstärkt durch digitale Plattformen, haben die Polarisierung von Meinungen beschleunigt.	Nadia Piet & Archival Images of AI + AIxDESIGN / Infinite Scroll / Licensed by CC-BY 4.0
Unüberwachtes Lernen - Anwendungen	Gängige Anwendungsgebiete des unüberwachten Lernens sind Clustering (Gruppierung ähnlicher Datenpunkte) und Anomalieerkennung (Identifizierung ungewöhnlicher Muster). Regression und Klassifikation sind typischerweise Aufgaben des überwachten Lernens.	Kamilla Tenorio (2026), AI Across Domains
Unüberwachtes Lernen - Eigenschaften	Unüberwachtes Lernen erkennt Muster ohne vordefinierte Beschriftungen. Es erfordert keine beschrifteten Daten zum Trainieren und kann natürliche Strukturen in Daten entdecken. Die Modellqualität kann jedoch subjektiv sein, da es keine "korrekten" Labels zum Vergleich gibt.	Kamilla Tenorio (2026), AI Across Domains
Verstärkendes Lernen - Roboter	Roboter lernen Aufgaben wie Gehen oder das Zusammensetzen von Bauteilen durch verstärkendes Lernen, indem sie verschiedene Strategien ausprobieren und ihr Verhalten basierend auf Belohnungen und Strafen anpassen. Dies ist ein Trial-and-Error-Prozess, bei dem der Roboter durch Interaktion mit der Umgebung lernt.	Boston Dynamics. (n.d.). Starting on the Right Foot with Reinforcement Learning [Image]. Retrieved December 9, 2024, from https://bostondynamics.com/blog/starting-on-the-right-foot-with-reinforcement-learning/
